No;username;komentar;pariwisata;kategori
336;rindukelana;Meskipun kata orang cukup meletihkan tapi masih bisa dicapai wanita biasa usia 50-an yang pernah patah tulang kaki dan masih ada pen didalamnya. Jadi ketinggian dan tantangannya masih terjangkau. Apalagi bila sudah melihat keindahannya yg langka, sepertinya bukan masalah kalau ada kesempatan berkunjung lagi. Hanya yg perlu diantisipasi bagi wanita adalah kebutuhan alami, yg mungkin sulit dilaksanakan karena ketiadaan toilet umum di sepanjang track yg sangat dingin di malam dan pagi hari. Banyak guide yang bisa diminta mendampingi wisatawan dan saya beruntung bertemu bpk. Slamet, guide yang ramah, sabar dan penuh tanggung jawab.  ;2;3
337;claracindytania;Perjalanan yang panjang dan cukup melelahkan, tapi terbayar dengan keindahan setelah mencapai 2.;2;3
338;away_mak;Sangat beruntung Masyarakat Indonesia memiliki Keajaiban Alam yang sangat fenomenal, salah satunya adalah Blue Fire di 2. Di dunia ini Blue Fire hanya dapat ditemukan di 2 (dua) tempat, yakni di Eslandia (Iceland) dan di Ijen, Banyuwangi (Indonesia). Pengunjung wajib start dari Kawasan Pendakian Gunung Ijen Pukul 02:00 Subuh karena pengunjung membutuhkan waktu kurang lebih 2 (dua) jam untuk mencapai ke 2 (Blue Fire). Medan pendakian berbentuk huruf V terbalik dimana pengunjung berada di sudut V terbalik di satu sisi, sedangkan 2 (Blue Fire) ada di sisi balik dari sudut V terbalik tersebut. 2 sendiri merupakan Kawasan Konservasi Alam dan sekaligus tempat penambangan belerang. Belerang yang ditambang di mulut 2, mengeluarkan rona cahaya kebiru-biruan akibat pengaruh oksigen di sekitar Kawah. Namun demikian, fenomena ini berhenti pada pukul 05:00 pagi karena Cahaya Matahari yang keluar dari Ufuk Timur akan meredam keronaan cahaya kebiru-biruan di sekitar mulut kawah yang merupakan areal penambangan belerang tersebut. Umumnya pengunjung menikmati fenomena alam tersebut selama kuranh lebih 1 jam (sampai jam 05:00 pagi, dengan asumsi pengunjung mendaki pada pukul 02:00 dan tiba di mulut kawah pukul 04:00). Perjalanan pulang menghabiskan waktu yang sama, yakni 2 jam lamanya. Saat Pengunjung mendaki dan turun ke mulut kawah, karena suasana masih malam hari, pengunjung tidak menyadari bahwa kiri-kanan mereka sebenarnya adalah jurang. Pengunjung baru menyadarinya saat perjalanan pulang ketika Matahari bersinar. Disarankan untuk membawa senter, menggunakan Baju Tebal dan badan di balut dengan pakaian Long Jhon karena angina di lembah kawah dan di gunung sangat kencang, serta jangan lupa membawa air minum (karena di lembah tidak ada yang jual minum dan di lembah sangat kering dan dingin, pasti kalian akan haus di sana), Bawa juga roti untuk kunyah-kunyah saat di lembah, karena angin lembah sangat kencang dan kering. Disarankan juga menggunakan sepatu Gunung yang bergerigi karena kontur Gunung berkerikil massive, sehingga pengunjung sangat mudah tergelincir. Disarankan pula membawa tongkat pendakian apabila ada. Waktu yang cocok mendatangi Ijen adalah saat musim kemarau karena saat musim Hujan, medan pendakian sangat licin akibat air hujan.;2;3
339;zerahya123;hijaunya yang pekat membuat mata lekat terpikat untuk selalu menatap, bau belerang menyengat .....pendakian yang terjal selama hampir dua jam terbayar dengan pemandangan yang luar biasa .... sungguh besar kuasaMu ....;2;3
340;annasetya;Kawah berwarna hijau, blue fire, penambang belerang yang lalu lalang. Pendakian selama 2jam dengan berjalan santai akan terbayar dengan pemandangan yang sangat indah.;2;3
341;Layla F;Keindahan blue fire dan matahari terbitnya excellent. Dibutuhkan kurang lebih sekitar 3 jam untuk sampai ke objek utama, yaitu blue fire. Disarankan untuk membawa masker atau tissue basah dan juga air. Karena asap belerang yg menyengat. Asap tersebut akan naik ke permukaan ketika matahari mulai bersinar.  Udaranya dingin dan sejuk. Sesaat setelah matahari mulai bersinar, akan terlihat pemandangan yang cukup menakjubkan. Maha besar ciptaan Tuhan.;2;3
342;biringndu;2 terletak di daerah banyuwangi dan cukup jauh dari kota ke sana.Ketika kita sampai di atas(2) kita juga harus berjalan sekitar 2 km untuk menuju blue fire nya.Sesampai nya disana rasa capek kita akan terbayar oleh begitu bagus blue fire yg muncul.;2;3
343;mglhardiman;Perjalanan menuju puncak ijen mempunyai pemandangan alam yang luar biasa indahnya. Dari puncak gunung diakhir perjalanan ke puncak, kita bisa melihat industri pertambangan belerang yang sederhana. Pemandangan danau yang indah , juga Sunrise diijen sangat bagus. Tetapi jarak yang cukup jauh menuju puncak dengan medan yang terlalu berat memerlukan istirahat yang cukup sebelum ke puncak ijen. Dan jangan lupa tidur dulu sebelum ke puncak dimana start dimulai jam 2 subuh.;2;3
344;Huika;Bagian terberat dari kunjungan ke 2 adalah perjalanan sekitar 3km menanjak dan menuruni bibir kawah yang terjal. Namun perjalanan ini terbayar saat melihat nyala api biru yang magis. Cocok untuk pergi bersama teman-teman. Sebelum pergi harus yakin semua anggota rombongan dalam keadaan sehat dan siap jalan menanjak cukup jauh (tidak mendaki).;2;3
345;Bowo W;Saat pagi hari, ketika matahari mulai menyinari kawasan 2, pemandangan yang indah dapat Anda nikmati. 2 yang berwarna hijau kebiruan akan ditambah cahaya matahari yang berwarna keemasan memantul di kawah tersebut.  Suasana malam hari. Di sekitar lereng kawah terhampar pohon Manisrejo yang berdaun kemerahan, sedangkan batuan dinding kawah berwarna belerang, kekuningan, kondisi-kondisi inilah yang membuat panorama alam disini begitu mengesankan untuk dinikmati.  Selain itu fenomena alam lain yang terdapat di 2 yang tidak boleh dilewatkan adalah Blue Fire atau Api Biru, yang muncul di tengah-tengah penambangan sulphur, dan hanya bisa dilihat pada malam hari hingga menjelang dini hari.;2;1
346;Refreshing2014;Naik gunung kedua kalinya, yang pertama gunung rinjani. Berangkat dari surabaya menggunakan kereta api sampai di karang asem dipagihari. Tempat wisata disekitar Banyuwangi sangat banyak terutama pantainya. Saya memilih ke 2 karena ada dayatariknya yaitu blue fire atau api biru. Saya dan teman2 mendaki jam 2 pagi dengan udara dingin yang menyengat. Jarak tempuh sekitar 3 km. Jalannya menanjak dan setelah dekat dengan kawah bau belerangnya sangat menyengat. Sebaiknya para pendaki menggunakan masker agar terlindung dari bau belerang. ;2;2
347;muhammad eko k;Sangat indah dan memukau.. matahari terbit yang indah dan api biru yang memukau dan hawa dingin yang menusuk. Sungguh tak terlupakan.. .. ingin rasanya untuk mengulanginya lagi.;2;1
348;Ibnu Bohari;Stamina harus prima pada saat melakukan pendakian ini, dan jangan lupa mengenakan sepatu khusus trekking/hiking, atau setidaknya sepatu olahraga karena medannya sulit dan banyak pekerja dan turis yang lalu lalang. Saya sempat terpeleset pada saat melakukan penurunan.  Namun jika cuaca memungkinkan, pemandangan yang anda dapatkan benar-benar setara dengan perjuangan anda.;2;3
349;masakijugo;Pertama kali lihat gunung ini, kesannya memang ngga terlalu bagus.;2;2
350;linanauli21;Saya berkunjung ke 2 di minggu pertama Maret 2015. Saat itu cuacanya kurang bersahabat karena hujan seharian. Saat saya naik ke kawah juga hujan sehingga sepanjang pendakian mengenakan has hujan. Tiba di kawah, saya tidak menemukan si api biru. Malahan disambut kabut putih tebal dan angin kencang.;2;2
351;priyono_rd;"lokasi 2 dapat di tempuh dengan berkendaraan mobil sampai lokasi parkir kendaraan di patulakan dan mendaki 2 menaiki jalan tangga sekitar1,5 s/d 3 jam tergantung kecepatan berjalan untuk melihat ""blue fire"" pada saat awan cerah dan muncul antara jam 01.00 s/d 04.00";2;3
352;NgguhnaNgguh;2 yang terletak di Bayuwangi merupakan salah satu keajaiban dunia karena apinya yang berwarna biru. konon hanya ada 2 didunia fenomena ini salah satunya di gunung ijen ini dan satunya lagi di negara Islandia.  untuk mencapai 2 ini bisa dimulai dari kota Banyuwangi Jawa Timur. sesampainya dikota Bayuwangi kita bisa mengarah ke Paltuding yang berjarak sekitar 45km dari pusat kota Banyuwangi dengan jarak tempuh sekitar 2 jam perjalanan menggunakan sepeda motor dengan medan jalanan berkelok serta terus menanjak. sangat diperlukan kondisi kendaraan yang fit agar tidak mogok ditengah jalan karena sepanjang perjalanan didominasi oleh hutan karet dikiri dan kanan jalan.  setelah mencapai Paltuding sebagai pintu masuk untuk mencapai pusat 2 sangat direkomendasikan untuk segera beristirahat dengan cara menyewa homestay yang tersedia atau membawa tenda karena memang disediakan camp area. bersegeralah tidur setelah matahari terbenam karena kita harus bangun sekitar jam 01.00 untuk segera mendaki gunung ijen menuju pusat kawah karena apabila kita terlambat sampai dipusat kawah setelah matahari terbit, api birunya tidak akan terlihat.  medan untuk mencapai pusat kawah berupa tanah berpasir serta terus menanjak dan tidak ada penerangan sama sekali jadi sangat disarankan untuk membawa senter. lama perjalanan sekitar 3 jam dan sangat disarankan untuk tidak berlama-lama dipusat kawah karena bau belerang yang sangat pekat serta bisa membuat kesulitan bernafas.  setelah puas menikmati fenomena api biru bersegeralah kembali naik ke bibir kawah dan terus mendaki sampai puncak ijen karena sajian matahari terbit dengan berlatar danau ijen pun siap dinikmati.;2;3
353;indras_woro;Mendaki ke 2 di puncak gunung ijen cukup memerlukan tenaga. Saya dan rombongan mulai mendaki dari jam 2 pagi untuk mendapatkan pemandangan matahari terbit di puncak. Sungguh menkajubkan dan yang lebih seru lagi kita bisa turun ke kawah (sebelum jam 7 pagi) untuk menikmati air kawah yg mengandung sulfur. Tetapi jika ingin turun ke kawah, harus memperhatikan jam-jam saat kawah ini menyemburkan asap karena asap sulfur sangat menyesakkan dan beracun.;2;3
354;yuliha;perjalanan menuju 2 dari penginapan saya 1,5 jam perjalanan gelap dan cukup extream karena penerangan yang kurang serta lokasi yang kurang bersahabat. dari paltuding posko pertama untuk menempuh 2 perlu waktu sekitar 2 jam bagi pemula. pegunungan yang asri, kawah yang keren tidak bisa diungkapkan dengan kata-kata;2;3
355;I Gede Subana Arta;ini tempat wisata yang wajib dikunjungi kalau ke banyuwangi. api birunya itu memang harus dilihat pake mata sendiri. untuk sampai kelokasi dari banyuwangi cukup jauh kira2 2jam dengan mobil. lalu untuk sampai kawahnya harus jalan kaki lagi selama 2-3 jam tergantung kemampuan. tapi perjalanan jauh itu akan terbayarkan dengan keindahan yang didapat dipuncak. waktu saya kesana baru boleh melakukan pendakian jam 4 pagi karena kondisi kawah yang kurang bagus.;2;3
356;RodaDanRoti;2 salahsatu dari tujuan wisata yang unik, terkenal dengan blue firenya dimana kita harus berjalan menanjak sejauh 3km di pagi hari untuk menyaksikan pemandangan yang spectacular, bila sudah siang akan timbul awan dan gas belerang sehingga wisatawan harus sepagi mungkin mencapai kawah;2;3
357;adiyana;Cukup menguras energi dan keringat perjalanan menuju 2, mungkin karena jarang olah raga terasa capenya. perjalanan yang ditempuh 5 jam Pulang Pergi bersama keluarga sungguh menyenangkan meski jalan mendaki berpasir dan licin disertai hujan di tengah perjalanan tidak menyurutkan untuk sampai kesana. Sempat istirahat di pondok bundar untuk mengurangi rasa lelah. Begitu indahnya 2 meski cuaca tidak bersahabat, terlihat hijau meski sebentar karena tertutup kabut lagi.;2;1
358;Harijanto;saya bersama keluarga menuju kawah ini sambil ingin melihat blue fire , sehingga tepat tengah malam kami mulai berjalan menuju ke puncak ijen , sekitar 2,5 jam sampailah kami di tujuan yaitu blue fire ingin meliat api biru tetapi karena bulan desember adalah musim hujan maka pada saat di puncak angin sangat kencang di serta asap belerang sehingga kami tidak jadi turun ke kawah ......wah... rugi banget karena asap tebal.;2;2
359;Williamj7310;Trekking sekitar 2 jam sampai di ujung kawah, kemudian 30 menit turun ke kawah nya. Untuk melihat blue fire, harus trekking jam 1 pagi. Kemudian, jam 4:30 bisa melihat sunrise dari sisi kawah yang lain. Hal yang juga luar biasa adalah penambang belerang yang mengangkut puluhan kilogram belerang dari bawah kawah sampai ke Posko bawah. Sungguh mereka sangat luar biasa!;2;1
360;screspati;Disarankan naik ke kawah ini sekitar pukul 2 pagi dari pos paltuding agar sampai bibir kawah masih gelap sehingga dapat menyaksikan blue fire. Pengunjung perlu memakan baju hangat ekstra karena suhu lokasi sangat dingin, lebih dingin apabila dibandingkan dengan suhu menuju lokasi gunung bromo. Pakailah sepatu yang bersol gerigi/atau licin untuk mempermudah pada saat jalan menuruni gunung. Bawalah air minum dan bekal makanan secukupnya karena perjalanan naik menuju kawah sekitar 1,5-2 jam lumayan menyita energi;2;3
361;Dedi86;2 ini terdapat di 2 jalur lewat bondowoso atau banyuwangi! Kebetulan saya dari kota banyuwangi! Disini kita dapat melihat kawah yg nantinya menjadi belerang so belerang itu banyak kegunaanya! So bagi pencita alam tidak ada salahnya berpetualang di2 ini plus kita dibisa melihat sunset dr puncak 2 ini!;2;1
362;Berthia;perjalananan yang melelahkan dimulai pk 01:00 dinihari, dalam gelap melangkah terus sampai ke puncak (+/- 2.443 mtr) makan waktu hampir 2 1/2 jam, angin dingin berhembus tapi mencapai puncak terbayar sudah, Pemandangan alam yang tiada taranya.;2;3
363;dony;Pertama kali naik gunung ya ke Ijen ini, jalanannya bener2 nanjak abis. Padahal jarak dari Paltuding ke puncak kawanya itu kira2 3 km, tapi ya gitu jalannya nanjak sampai pos terakhir (tempat pool belerang) setelah itu jalannya biasa nggak begitu menanjak. Kebetulan pas kesana belum sampai 1/2 jam Saya turun sendiri meninggalkan rombongan ke bawah gara2 anginnya besar disertai angin yang sangat dingin. Sebenernya sih nyesel gak liat sunrise dan blue fire nya, hiks hiks hiks... ;2;2
364;Handoko_febri;Trek yang lumayan menanjak, namun tidak terlalu panjang, bagi wisatawan biasa(bukan pendaki). Awal trek cukup sejuk dengan banyak pohon, namun diatas perlu masker untuk menghindari bau belerang yang menyengat. Blue fire yang hanya ada 2 di dunia, disini dan di islandia. Dari bibir kawah terlhat pemandangan danau yang mempesona. Untuk mencapai blue fire dan danau dibutuhkan keberanian, karna trek yang lebih curam dan sempit. Namun puas jika sudah berada di bawah.;2;3
365;ahmad nafik M;2 bisa dikunjungi melalui jalur banyuwangi ataupun Bondowoso. Dari lokasi terakhir pit stop di Paltuding, jalur ditempuh sejauh 4 km dengan berjalan kaki. Untuk dapat menikmati Blue fire atau si api biru, disarankan berangkat tengah malam. Normal perjalanan menuju puncak 2-3 jam. Jangan lupa membawa masker jika tidak tahan dengan bau belerang yang menyengat.;2;2
366;JOEBACKIR;Untuk memburu Api Biru di 2 perlu Fisik yang Prima,Baju hangat dan Masker untuk menghindari asep belerang sepatu yang ringan perlu disiapkan,tidak disarankan membawa barang yang berat/berlebihan;2;3
367;sukandaru p;"Awalnya saat kami datang ke Bunder (3 Under water) pada hari Sabtu 30/03/2019 kemarin dikirain resto apung......eh ternyata nama obyek wisata ""Rumah Apung 3"" untuk diving,snorkeling (ada penyewaan alatnya) & penangkaran ikan hiu dll. Menuju lokasi ini dari pantaiÉ";3;1
368;shaldua;Berenang bareng hiu kecil menimbulkan sensasi tersendiri yang dapat dilakukan oleh anak muda dan orang tua, hati-hati terhadap pegangan jaring yang kadang menempel, jika terkena anggota tubuh maka akan timbul gatal yang luar biasa. Petualangan lainnya snorkling didalam airÉ;3;3
369;ayunaid;Rumah Apung 3 merupakan salah satu destinasi pariwisata yang berada di daerah Banyuwangi. Di sana juga terdapat penangkaran ikan hiu lo. Jadi, selain snorkeling pengunjung juga bisa melihat ikan hiu secara langsung. Tidak disarankanÉ;3;3
370;adrinadev;3 adalah rumah apung tempat penangkaran ikan dan konservasi karang, dekat sekali dengan pantai, 15 dari pulau 9, 45 dari pulau menjangan, semuanya spot bagus untuk snorkling. Di 3 disewakan alat snorling, diving dan juga go pro. Seru, anak2 pasti suka.;3;1
371;Mochram;di lokasi ini tersedia pembudidayaan terumbu karang serta penangkaran hiu tutul khas jawa. kita berwisata sekaligus belajar tentang alam;3;3
372;yopiefranz;Traveling ke Banyuwangi, mampir juga ke Pantai 3. sekitar 2 jam dari kota Banyuwangi, dengan kecepatan sedang. Pemandangannya biasa seperti di pantai lain. Namun pengalaman kita saat berada di bawah lautnya biasa saja. Banyal sekali sampah di sini.É;3;2
373;SuryaAtika-Tours;Untuk kesana sebaiknya sore hari untuk menikmati rumah apung dan berenang bersama dengan baby hiu, jika anda ingin ke 9 sebaiknya pagi hari.;3;3
374;ummi-kaltsum;kawasan eko tourism laut yang cukup mempesonaÉ;3;3
375;M. Firdan J;Saya bersama rombongan mahasiswa sudah dua kali ke pantai ini, dan dari keduanya kita sampai pada malam hari. Malam hari itu kami tiba dengan truk, namun bisa juga memesan bus dari tempat keberangkatan atau dari stasiun Banyuwangi Baru. Kami bisa menikmati suasana malam diÉ;3;3
376;danny t;3 merupakan area konservasi terumbu karang di Banyuwangi. cocok untuk berlibur dengan teman maupun keluarga. yang unik di 3 yaitu adanya rumah apung.  ;3;3
377;nung_annisa;Bagi teman-teman yang berencana berlibur di Banyuwangi, jangan lupa masukkan 3 ke dalam salah satu destinasi yang akan dikunjungi. 3 underwater sebenarnya merupakan tempat pelestarian terumbu karang yang sekaligus menjadi penangkaran hiu di banyuwangi. DariÉ;3;3
378;Hadjah A;Jadi disini kita bisa melakukan aktitas berenang yang ada disekitaran rumah apung 3. Untuk mencapai ke tempat ini kalian ikuti saja jalan menuju pantai watudodol. Dari 3 underwater bisa lanjut untuk menyebrang ke pulau 9 dan menjangan jika memungkinkanÉ;3;3
379;Rianurie;"Bagi para traveler atau backpacker yang ingin snorkling di banyuwangi tapi punya waktu yang sempit, tidak bisa berlama"", bisa mengunjungi 3, dengan view yg cukup cantik rumah apungnya, dan bisa bersnorkling di sekitar rumah apung ini, jarak dari kota banyuwangi jugaÉ";3;1
380;BudiWicThamrin;Salah satu spot di Banyuwangi untuk snorkling. Tidak ada batu karang yang bisa dilihat di sana. Yang ada kita hanya melihat ikan ikan kecil yang sedang berenang. Di sebelah rumah apung bisa dilihat ikan hiu kecil seperti dalam penangkaran. Pantai? Jangan berharap mendapatkanÉ;3;2
381;Arghya Narendra D;Sejujurnya. Ini adalah kawasan EKOWISATA. ini tempat konservasi terumbu karang. Kelompok petani yang mengelola. Harga Paket Penuh untuk snorkling adalah 35K. Akses menuju Pulau Menjangan Bali juga bisa dari sini. Mungkin, ijin usaha akan lebih mudah dan murah ketikaÉ;3;3
382;rizkim2016;Pantaii ini baguss,,lumayan bersihlah... Terutama bisa snorkling jd bikin tambah keren. Sayangnya utk penyewaan pelampjng dan live vest mestii nunggu berjam-jam lamanya. __ tp pemandangannya bagus, recomended.;3;3
383;Flea X;Tempat yang bagus untuk snorkling dan menyelam, Ada pusat menyelam di tempat itu. Setelah menyelam atau snorkeling di poni Anda dapat menyelam ke pulau menjangan dan pulau 9. Jika tidak ada waktu untuk menyelam, Anda bisa menginap satu malam di bangsal atau banyuwangi danÉ;3;1
384;AntoxHamid;Terletak di rute Pantura, Situbondo - Banyuwangi. Cukup ikuti peta, Anda akan menemukan tempat ini. Ada beberapa villa yang bisa disewa.  Ada rumah apung (Rumah Apung), tidak jauh dari pantai, di mana kita bisa melihat ikan-ikan di pantaiÉ;3;3
385;merdekamerdeka;tempat ini adalah sangat goodddddd. Keluarga saya sangat senang berlibur di tempat ini, banyak ikan yang banyak karang karang lunak dan keras;3;1
386;Aiken Kurniawan;Kereta Apena gratis menyelam - Benar-benar pemandangan yang luar biasa terutama jika Anda pergi di bawah Air - Jangan menggunakan pelampung dan pergi di luar - Ada banyak situs menyelam terdekat Pergi menjelajahi di daerah ini dan tidak hanya di satu tempat.;3;3
387;AdityaLesmana;Tempat ini terletak di Banyuwangi. Jalan masuk yang sempit, jelas perlu pelebaran di masa mendatang jika pemerintah ingin membuat tempat ini menjadi lebih populer untuk pariwisata. Namun pemandangan laut di sini sangat memukau saat matahari terbit di kali, setelah ituÉ;3;1
388;RochmanLJ;Pantai ini sangat bagus. Tidak pantai yang wah. Daya tarik utama adalah rumah (rumah terapung) Apung di mana pengunjung dapat berenang bersama ikan-ikan hiu. Dan pulau 9, di mana orang-orang dapat melakukan snorkeling. Aku sedang karena cuaca hujan dan ombak tinggi. jadi,É;3;3
389;Mulyadi_albert;Underwater 3. New tour sangat menarik, memiliki pesona bawah laut yang sangat indah, di sini anda dapat melakukan kegiatan snorkeling, menyelam, berenang dengan hiu, dan beberapa wahana dan dukungan lainnya. Dan bagi anda yang ingin bepergian ke pulau, hotel ini jugaÉ;3;1
390;Nissa;Pantai ini dekat dengan kota, wisata yang merakyat, ramainya kalau malam hari, selain pemandangannya yang bagus juga ada spot untuk wisata kuliner dengan harga yang terjangkau.tiket masuk 5000,dengan mematuhi protokol kesehatan.;4;1
391;Ike Irawati;Salah satu ikon baru kota banyuwangi, letaknya pun tidak jauh dari pusat kota. Dengan harga tiket yang terbilang terjangkau segala kalangan. Konon Pantai 4 dahulu merupakan pelabuhan dermaga kapal internasional yang biasa digunakan sebagai tempat bongkar muat kapal asing. Landmark ikonik di Pantai 4 ini salah satunya adalah jembatan lintas yang menghubungkan daratan yang berada di utara dekat pintu masuk dengan daratan di seberangnya. ;4;3
392;cintaliaaa;Pantainya di tengah kota Banyuwangi. Tiketnya hanya 5000. ;4;3
393;ucik_nh;Saya kira seperti pantai pada umumnya, ternyata yang jadi icon hanya jembatan dan beberapa lampu saja Selebihnya hanya seperti taman;4;1
394;Riz Tour Makassar;Lokasi Wisata pantia 4 saat ini masih dlm tahap pengembanganÉ;4;3
395;Adon;Pantainya cukup menarik, di beberapa tempat ada tempat makan dan spot foto yang bagus dengan latar belakang pulau bali. Tetapi pantainya kadang kotor, walaupun ada yang membersihkan. Tempat parkir yang agak kurang terawat, akses sudah bagus;4;3
396;Rachmat Bahari;Sekarang tempatnya sangat keren. Cocok untuk selfi2. Pantai bersih juga tiket hanya 5 ribu saja. Sore hari banyak anak2 muda nongrong sambil menikmati senja sore hari;4;1
397;noorchadijah;Sampai sekarang masih pembangunan. Semakin bagus dan rapi. Ada juga aneka makanan Banyuwangi juga ikan bakar lalapan. Tanda masuk hanya 5000 rupiah, Banyuwangi makin bagus.;4;1
398;Sofa_Multazam;Pantainya sangat dekat dengan pusat kota Banyuwangi. Bisa diakses dengan kendaraan umum juga, tetapi saat berkunjung menggunakan taksi online.  Pantainya cukup bersih dengan hamparan pasir yang cukup luas, air laut yang tidak terlalu besar ombaknya (cenderung tak berombak) dan airnya jernih sehingga kesan biru air laut sangat kontras dengan pasir yang berwarna kehitaman. Pantai ini berlokasi di Selat Bali, sehingga view dari pantai ini adalah pulau Bali.  Kawasan pantainya sedang dalam tahap penataan, sehingga banyak diantranya yang belum rapih. Lahan parkir cukup luas walapun masih berdebu. Kamar mandi/WC hanya seadanya, tidak terlalu bersih. Selain itu, terdapat fasilitas pendukung lainnya, diantaranya area foto (swafoto), berkuda, taman hiburan anak-anak dan juga tempat duduk/berjemur yang dilengkapi dengan payung.;4;1
399;belgianguy1;Pantai ini menghadap ke timur jadi ok buat sunset, lain dari itu tidak kelihatan bagus, karena pasir hitam dan banyak sampah, it's a pity!;4;2
400;kafika;Seneng banget deh, di hari ke 2 pas liburan banyuwangi kemarin akhirnya bisa ngerasain liat sunrise di pantai ini  Perfect banget.  Masuknya juga cuma 5ribu per orang.  Sayangnya pantai ini masih belum rapi, jadi jalanannya cenderung becek dan toiletnya pun ga banget __;4;1
401;tepas2000;saat datang ke pantai 4, pantai ini sedang dalam proses renovasi. infonya, pantai ini akan dijadikan seperti pantai marina. Proses pembangunan yang sedang berjalan membuat pantai ini terlihat kurang rapih, namun hal ini dapat saya maklumi. pantai ini berupa pantai pasir hitam dengan latar belakang pegunungan raung. untuk sementara ini belum banyak yang bisa dinikmati keindahannya, jadi kesan saya biasa saja. ;4;2
402;Timbun H;Pantai pasir hitam dan langsung hadap selat Bali. Pas ke sana lautnya kotor Ada sampah dan ombaknya besar.;4;2
403;4nd1;Cari sana sini sampai juga di pantai 4.Pantai yg sederhana tapi menyajikan suasana yg nyaman dgn pemandangan pegunungan tepat di depan mata.;4;1
404;G@lih;Kunjungan saya ke tempat ini adalah dengan cara bersepeda. Sebenarnya tempat ini adalah dermaga tempat bersandar kapal dengan tonase yang kecil. Tempatnya sama sekali tidak istimewa. Disekitar tempat ini tersedia tempat makan yang suasananya biasa saja.;4;2
405;Gigih Pambudi;menikmati indahnya matahari terbit di pantai 4 adalah pengalaman yg tdk tergantikan. tapi jangan berenang di sini ya, karena arus bawah yg sangat deras, relatif berbahaya jika anda memaksa berenang.;4;3
406;Ratu L;pantai 4 salah satu pantai yang berrpasir hitam di lengkapi dengan berbagai pedagang kuliner. serta banyak tumbuhan rindang di penggir pantai dapat di gunakan untuk bersantai di bawah pohon rindang ,sambil menikmati pemandangan pantai.;4;1
407;bobby i;lumayan, masih banyak yang harus diperbaiki, lebih ditingkatkan lagi untuk sarana nya, sayang karena moment sunrise disini bagus sekali dan sangat indah.;4;3
408;Ni Made Ayu Aprilia;"panta 4 ini lokasinya strategis ada kuda dan permainan untuk anak"" sangat cocok untuk liburan keluarga tapi sayangnya bau pipis kuda sangat menyengat di pantai itu overall is good";4;3
409;Xumbaraa;Pantai yang dekat sekali dengan kita. Tapi sayang saat kami kesana masih diperbaiki. Ada persewaan kuda, mobil cady, payung pantai dan beberapa makanan tradisional. Semoga segera selasa karena destinasi terdekat dengan kota Banyuwangi.;4;3
410;HUSIN G;Pelabuhan nelayan yang ditingkatkan menjadi pelabuhan marina. Masih ada proyek meski terkesan lambatÉ;4;3
411;tikarch;Ke Pantai ini karena aksesnya gampang banget. Hanya jalan di pinggir pantai lalu ambil foto Pulau Bali. Sunsetnya bagus buat foto;4;1
412;aftarwilly;Pantai tengah kota yang pas buat nikmatin sunrise hanya jalan kaki 8 menit dari HOtel temoat saya stay. bisa nikmatin selat Bali. Pasir pantai hitam dan tidak bisa berenang disana karena air kurang bersih.;4;2
413;Lisbet_310183;Saya datang ke sini di pagi hari bersama teman. Tidak banyak yang bisa di lihat di Pantai ini. Ada banyak sampah juga di pantai ini. Aktivitas di pantai ini, antara lain berkuda, berendam di pasir, dan menikmati keindahan pantai. PAntai ini paling dekat dengan Kota. WC tidak terawat. Pedagang tidak ada yang buka di pagi hari;4;2
414;Ariffan S;Untuk mendapat sunset epic datanglah pada jam 4 sore pada cuaca cerah. Meskipun banyak kekurang pada tempat karena saat ini masih banyak perbaikan pada pantai tersebut tidaklah mengurangi keindahan sunset pada pantai ini.;4;2
415;Padadita;Kami merapatkan diri ke pantai 4 karena ada undangan teman untuk menikmati suasana malam hari di tempat itu, memang masih ada pembenahan diarea pantai tersebut tapi semoga bisa cepat selesai;4;1
416;dammer_thetraveler;Pantai ini cukup populer dikalangan warga lokal. Maklum dekat dengan pusat kota. Namun layaknya pantai kota, pantai ini terbilang tidak istimewa. Malah cenderung kotor.;4;2
417;RifaWulandari;Pantai pelabuhan perdagangan di jaman Belanda, sekarang banyak sampah disana sayang banget;4;2
418;antosigit;sayang pantai terkesan kotor dan tidak terurus dan pemandangan pantai terganggu tenda-tenda berteduh dari warga sekitar yang mematok harga lumayan mahal.;4;2
419;lilydwiyanti;Pantai 4 terletak dekat kota dan mudah untuk di jangkau, pantai yang memiliki pasir hitam ini di lengkapi kursi dan payung2 yang cantik dan ada temoat wisata kuliner makanan khas;4;1
420;Ririn H;Pantai yg sangat jelek, tidak sesuai dengan namanya. Tiket masuknya mahal 10.000 per orang belm parkirnya. Tidak sesuai dengan yg didapat. Pantainya tidak sesuai perkiraan, kotor, tidak bisa main pasir apalagi main air..cuma duduk saja. Aaaarrrghhh....tertipu abisss...;4;2
421;Febriyantiella;Pantai berpasir hitam ini biasa ajasih sebenarnya. Bukan tempat yg tepat pula untuk melihat sunset karena pantainya menghadap ke timur. Namun pantai ini merupakan satu2nya pantai dengan aksesbilitas paling mudah untuk dicapai dari pusat kota banyuwangi. Tiket masuknya pun tidak mahal, sekitar 3000 rupiah saja. Cocok untuk pelancong yang ingin liburan murah.;4;3
